"Localitate","Judet"
"Bunesti","Hunedoara"
"Bunila","Hunedoara"
"Burjuc","Hunedoara"
"Cabesti","Hunedoara"
"Cainelu de Jos","Hunedoara"
"Cainelu de Sus","Hunedoara"
"Calan","Hunedoara"
"Calanu Mic","Hunedoara"
"Campu lui Neag","Hunedoara"
"Campuri de Sus","Hunedoara"
"Campuri-Surduc","Hunedoara"
"Caoi","Hunedoara"
"Caraci","Hunedoara"
"Carastau","Hunedoara"
"Carjiti","Hunedoara"
"Carmazanesti","Hunedoara"
"Carnesti","Hunedoara"
"Carpinis","Hunedoara"
"Castau","Hunedoara"
"Cazanesti","Hunedoara"
"Cerbal","Hunedoara"
"Cerbia","Hunedoara"
"Cerisor","Hunedoara"
"Cernisoara Florese","Hunedoara"
"Certeju de Jos","Hunedoara"
"Certeju de Sus","Hunedoara"
"Cherghes","Hunedoara"
"Chimindia","Hunedoara"
"Chiscadaga","Hunedoara"
"Chitid","Hunedoara"
"Cigmau","Hunedoara"
"Cimpa","Hunedoara"
"Cincis-Cerna","Hunedoara"
"Cioclovina","Hunedoara"
"Ciopeia","Hunedoara"
"Ciula Mare","Hunedoara"
"Ciula Mica","Hunedoara"
"Ciulpaz","Hunedoara"
"Ciumita","Hunedoara"
"Ciungani","Hunedoara"
"Ciungu Mare","Hunedoara"
"Clopotiva","Hunedoara"
"Coaja","Hunedoara"
"Copaci","Hunedoara"
"Coroiesti","Hunedoara"
"Cosesti","Hunedoara"
"Costesti","Hunedoara"
"Costesti-Deal","Hunedoara"
"Covragiu","Hunedoara"
"Cozia","Hunedoara"
"Craciunesti","Hunedoara"
"Craguis","Hunedoara"
"Cris","Hunedoara"
"Crisan ","Hunedoara"
"Criscior","Hunedoara"
"Cristur","Hunedoara"
"Criva","Hunedoara"
"Crivadia","Hunedoara"
"Cucuis","Hunedoara"
"Cuies","Hunedoara"
"Curechiu","Hunedoara"
"Curpenii Silvasului","Hunedoara"
"Cutin","Hunedoara"
"Dabaca","Hunedoara"
"Dalja Mare","Hunedoara"
"Dalja Mica","Hunedoara"
"Dancu Mare","Hunedoara"
"Dancu Mic","Hunedoara"
"Danulesti","Hunedoara"
"Dealu Babii","Hunedoara"
"Dealu Mare","Hunedoara"
"Dealu Mic","Hunedoara"
"Deleni","Hunedoara"
"Densus","Hunedoara"
"Deva","Hunedoara"
"Dobra","Hunedoara"
"Dobrot","Hunedoara"
"Dragu-Brad","Hunedoara"
"Dudesti","Hunedoara"
"Dumbrava","Hunedoara"
"Dumbrava de Jos","Hunedoara"
"Dumbrava de Sus","Hunedoara"
"Dumbravita","Hunedoara"
"Dumesti","Hunedoara"
"Dupapiatra ","Hunedoara"
"Fagetel","Hunedoara"
"Fantana","Hunedoara"
"Farcadin","Hunedoara"
"Fata Rosie","Hunedoara"
"Federi","Hunedoara"
"Feregi ","Hunedoara"
"Fintoag","Hunedoara"
"Fizes","Hunedoara"
"Fizesti","Hunedoara"
"Folt","Hunedoara"
"Fornadia","Hunedoara"
"Furcsoara","Hunedoara"
"Galati","Hunedoara"
"Galbina","Hunedoara"
"Gantaga","Hunedoara"
"Gelmar","Hunedoara"
"General Berthelot","Hunedoara"
"Geoagiu","Hunedoara"
"Geoagiu-Bai","Hunedoara"
"Ghelari","Hunedoara"
"Gialacuta","Hunedoara"
"Giurgesti","Hunedoara"
"Glodghilesti","Hunedoara"
"Godinesti","Hunedoara"
"Goles","Hunedoara"
"Gotesti","Hunedoara"
"Gothatea","Hunedoara"
"Govajdia","Hunedoara"
"Gradistea de Munte","Hunedoara"
"Grid","Hunedoara"
"Grind","Hunedoara"
"Grohot","Hunedoara"
"Grohotele","Hunedoara"
"Gros","Hunedoara"
"Grosuri","Hunedoara"
"Gura Bordului","Hunedoara"
"Gurasada","Hunedoara"
"Harau","Hunedoara"
"Hartagani","Hunedoara"
"Hasdat","Hunedoara"
"Hasdau","Hunedoara"
"Hatagel","Hunedoara"
"Hateg","Hunedoara"
"Herepeia","Hunedoara"
"Hobita","Hunedoara"
"Hobita-Gradiste","Hunedoara"
"Holdea","Hunedoara"
"Homorod","Hunedoara"
"Hondol","Hunedoara"
"Hunedoara","Hunedoara"
"Ilia","Hunedoara"
"Iscroni","Hunedoara"
"Izvoarele","Hunedoara"
"Jeledinti","Hunedoara"
"Jiet","Hunedoara"
"Jiu-Paroseni","Hunedoara"
"Josani","Hunedoara"
"Lapugiu de jos","Hunedoara"
"Lapugiu de Sus","Hunedoara"
"Lapusnic","Hunedoara"
"Lasau","Hunedoara"
"Leaut","Hunedoara"
"Lelese","Hunedoara"
"Lesnic","Hunedoara"
"Livada","Hunedoara"
"Livadia","Hunedoara"
"Livezi","Hunedoara"
"Ludestii de Jos","Hunedoara"
"Ludestii de Sus","Hunedoara"
"Lunca (Baia de Cris)","Hunedoara"
"Lunca (Baita)","Hunedoara"
"Lunca Cernii de Jos ","Hunedoara"
"Lunca Cernii de Sus","Hunedoara"
"Luncani","Hunedoara"
"Luncoiu de Jos","Hunedoara"
"Luncoiu de Sus","Hunedoara"
"Luncsoara","Hunedoara"
"Lupeni","Hunedoara"
"Maceu","Hunedoara"
"Mada","Hunedoara"
"Magura","Hunedoara"
"Magura-Toplita","Hunedoara"
"Magureni","Hunedoara"
"Malaiesti","Hunedoara"
"Manerau","Hunedoara"
"Martinesti","Hunedoara"
"Meria","Hunedoara"
"Merisor (Banita)","Hunedoara"
"Merisor (Bucuresci)","Hunedoara"
"Merisoru de Munte","Hunedoara"
"Mermezeu-Valeni","Hunedoara"
"Mesteacan (Brad)","Hunedoara"
"Mesteacan (Rachitova)","Hunedoara"
"Micanesti","Hunedoara"
"Mihaiesti","Hunedoara"
"Mihaileni","Hunedoara"
"Mintia","Hunedoara"
"Mosoru","Hunedoara"
"Muncelu Mare","Hunedoara"
"Muncelu Mic","Hunedoara"
"Nadastia de Jos","Hunedoara"
"Nadastia de Sus","Hunedoara"
"Nalatvad","Hunedoara"
"Nandru","Hunedoara"
"Negoiu","Hunedoara"
"Nojag","Hunedoara"
"Nucsoara","Hunedoara"
"Obarsa","Hunedoara"
"Ocisor","Hunedoara"
"Ociu","Hunedoara"
"Ocolisu Mare","Hunedoara"
"Ocolisu Mic","Hunedoara"
"Ohaba","Hunedoara"
"Ohaba de sub Piatra","Hunedoara"
"Ohaba Streiului","Hunedoara"
"Ohaba-Ponor","Hunedoara"
"Ohaba-Sibisel","Hunedoara"
"Oprisesti","Hunedoara"
"Orastie","Hunedoara"
"Orastioara de Jos","Hunedoara"
"Orastioara de Sus","Hunedoara"
"Ormindea ","Hunedoara"
"Ostrov","Hunedoara"
"Ostrovel","Hunedoara"
"Ostrovu Mic","Hunedoara"
"Paclisa","Hunedoara"
"Panc","Hunedoara"
"Panc-Saliste","Hunedoara"
"Paros","Hunedoara"
"Paucinesti","Hunedoara"
"Paulesti","Hunedoara"
"Paulis","Hunedoara"
"Pesteana","Hunedoara"
"Pestenita","Hunedoara"
"Pestera (Baita)","Hunedoara"
"Pestera (Petrosani)","Hunedoara"
"Pestera (Salasu de Sus)","Hunedoara"
"Pestisu Mare","Hunedoara"
"Pestisu Mic","Hunedoara"
"Petreni","Hunedoara"
"Petresti","Hunedoara"
"Petrila","Hunedoara"
"Petros","Hunedoara"
"Petrosani","Hunedoara"
"Piatra","Hunedoara"
"Pischinti","Hunedoara"
"Plai","Hunedoara"
"Plop","Hunedoara"
"Plopi","Hunedoara"
"Podele","Hunedoara"
"Poganesti","Hunedoara"
"Poiana","Hunedoara"
"Poiana Rachitelii","Hunedoara"
"Poieni (Beriu)","Hunedoara"
"Poieni (Densus)","Hunedoara"
"Poienita","Hunedoara"
"Poienita Tomii","Hunedoara"
"Poienita Voinii","Hunedoara"
"Pojoga","Hunedoara"
"Ponor","Hunedoara"
"Popesti","Hunedoara"
"Potingani","Hunedoara"
"Pravaleni","Hunedoara"
"Pricaz","Hunedoara"
"Prihodiste (Bosorod)","Hunedoara"
"Prihodiste (Vata de Jos)","Hunedoara"
"Pui","Hunedoara"
"Racastia","Hunedoara"
"Rachitaua","Hunedoara"
"Rachitova","Hunedoara"
"Radulesti","Hunedoara"
"Rapas","Hunedoara"
"Rapoltel","Hunedoara"
"Rapoltu Mare","Hunedoara"
"Rascoala","Hunedoara"
"Rau Alb","Hunedoara"
"Rau Barbat","Hunedoara"
"Rau de Mori ","Hunedoara"
"Rau Mic","Hunedoara"
"Reea","Hunedoara"
"Renghet","Hunedoara"
"Ret","Hunedoara"
"Ribicioara","Hunedoara"
"Ribita","Hunedoara"
"Risca","Hunedoara"
"Risculita","Hunedoara"
"Romos","Hunedoara"
"Romosel","Hunedoara"
"Roscani","Hunedoara"
"Rosia","Hunedoara"
"Rovina (Branisca)","Hunedoara"
"Rovina (Bucuresci)","Hunedoara"
"Ruda","Hunedoara"
"Ruda-Brad","Hunedoara"
"Runcsor","Hunedoara"
"Runcu Mare","Hunedoara"
"Runcu Mic","Hunedoara"
"Rusesti","Hunedoara"
"Rusi","Hunedoara"
"Rusor","Hunedoara"
"Sacamas","Hunedoara"
"Sacaramb","Hunedoara"
"Sacel","Hunedoara"
"Salasu de Jos","Hunedoara"
"Salasu de Sus","Hunedoara"
"Salatruc","Hunedoara"
"Salciva","Hunedoara"
"Saliste","Hunedoara"
"Salistioara","Hunedoara"
"Sancrai","Hunedoara"
"Sanpetru","Hunedoara"
"Santamaria de Piatra","Hunedoara"
"Santamaria-Orlea","Hunedoara"
"Santandrei","Hunedoara"
"Santuhalm","Hunedoara"
"Sarbi","Hunedoara"
"Sarmizegetusa","Hunedoara"
"Saulesti","Hunedoara"
"Sereca","Hunedoara"
"Serel","Hunedoara"
"Sesuri","Hunedoara"
"Sibisel (Beriu)","Hunedoara"
"Sibisel (Rau de Mori)","Hunedoara"
"Silvasu de Jos","Hunedoara"
"Silvasu de Sus","Hunedoara"
"Simeria","Hunedoara"
"Simeria Veche","Hunedoara"
"Slatinioara","Hunedoara"
"Socet","Hunedoara"
"Sohodol","Hunedoara"
"Soimus","Hunedoara"
"Spini","Hunedoara"
"Stancesti","Hunedoara"
"Stancesti-Ohaba","Hunedoara"
"Stanculesti","Hunedoara"
"Stanija","Hunedoara"
"Stauini","Hunedoara"
"Stei","Hunedoara"
"Steia","Hunedoara"
"Stejarel","Hunedoara"
"Stoieneasa","Hunedoara"
"Strei","Hunedoara"
"Strei-Sacel","Hunedoara"
"Streisangeorgiu","Hunedoara"
"Stretea","Hunedoara"
"Subcetate","Hunedoara"
"Sulighete","Hunedoara"
"Suseni","Hunedoara"
"Tamasasa","Hunedoara"
"Tamasesti","Hunedoara"
"Tampa","Hunedoara"
"Taratel","Hunedoara"
"Tarnava","Hunedoara"
"Tarnava de Cris","Hunedoara"
"Tarnavita","Hunedoara"
"Tarnita","Hunedoara"
"Tarsa","Hunedoara"
"Tatarasti","Hunedoara"
"Tatarastii de Cris","Hunedoara"
"Tebea","Hunedoara"
"Techereu","Hunedoara"
"Teiu","Hunedoara"
"Teliucu Inferior","Hunedoara"
"Teliucu Superior","Hunedoara"
"Ticera","Hunedoara"
"Tirici","Hunedoara"
"Tisa","Hunedoara"
"Tiulesti","Hunedoara"
"Tomesti","Hunedoara"
"Tomnatec","Hunedoara"
"Toplita","Hunedoara"
"Toplita Muresului","Hunedoara"
"Totesti","Hunedoara"
"Totia","Hunedoara"
"Trestia","Hunedoara"
"Turdas","Hunedoara"
"Turmas","Hunedoara"
"Tustea","Hunedoara"
"Uibaresti","Hunedoara"
"Ulies","Hunedoara"
"Ulm","Hunedoara"
"Unciuc","Hunedoara"
"Uric","Hunedoara"
"Uricani","Hunedoara"
"Uroi","Hunedoara"
"Ursici","Hunedoara"
"Vadu","Hunedoara"
"Vadu Dobrii","Hunedoara"
"Vaidei","Hunedoara"
"Valari","Hunedoara"
"Valcele","Hunedoara"
"Valcelele Bune","Hunedoara"
"Valceluta","Hunedoara"
"Valea","Hunedoara"
"Valea Arsului","Hunedoara"
"Valea Babii","Hunedoara"
"Valea Bradului","Hunedoara"
"Valea Daljii","Hunedoara"
"Valea de Brazi","Hunedoara"
"Valea Lunga","Hunedoara"
"Valea Lupului","Hunedoara"
"Valea Mare de Cris","Hunedoara"
"Valea Nandrului","Hunedoara"
"Valea Poienii","Hunedoara"
"Valea Sangeorgiului","Hunedoara"
"Valeni (Baia de Cris)","Hunedoara"
"Valeni (Geoagiu)","Hunedoara"
"Valioara","Hunedoara"
"Valisoara","Hunedoara"
"Valisoara (Balsa)","Hunedoara"
"Varmaga","Hunedoara"
"Vata de Jos","Hunedoara"
"Vata de Sus","Hunedoara"
"Vetel","Hunedoara"
"Vica","Hunedoara"
"Visca","Hunedoara"
"Voia","Hunedoara"
"Vorta","Hunedoara"
"Vulcan","Hunedoara"
"Zam","Hunedoara"
"Zavoi","Hunedoara"
"Zdrapti","Hunedoara"
"Zeicani","Hunedoara"
"Adancata","Ialomita"
"Albesti","Ialomita"
"Alexeni","Ialomita"
"Amara","Ialomita"
"Amara Noua","Ialomita"
"Andrasesti","Ialomita"
"Armasesti","Ialomita"
"Axintele","Ialomita"
"Balaciu","Ialomita"
"Baraganu","Ialomita"
"Barbatescu","Ialomita"
"Barbulesti","Ialomita"
"Barcanesti","Ialomita"
"Bataluri","Ialomita"
"Bitina-Pamanteni","Ialomita"
"Bitina-Ungureni","Ialomita"
"Bora","Ialomita"
"Boranesti","Ialomita"
"Bordusani","Ialomita"
"Borduselu","Ialomita"
"Boteni","Ialomita"
"Brazii","Ialomita"
"Brosteni","Ialomita"
"Bucsa","Ialomita"
"Bucu","Ialomita"
"Buesti","Ialomita"
"Buliga","Ialomita"
"Butoiu","Ialomita"
"Catrunesti","Ialomita"
"Cazanesti","Ialomita"
"Cegani","Ialomita"
"Chiroiu-Pamanteni","Ialomita"
"Chiroiu-Satu Nou","Ialomita"
"Chiroiu-Ungureni","Ialomita"
"Ciocarlia","Ialomita"
"Ciochina","Ialomita"
"Ciulnita","Ialomita"
"Cocora","Ialomita"
"Colelia","Ialomita"
"Condeesti","Ialomita"
"Copuzu","Ialomita"
"Cosambesti","Ialomita"
"Cosereni","Ialomita"
"Cotorca","Ialomita"
"Crasanii de Jos","Ialomita"
"Crasanii de Sus","Ialomita"
"Crunti","Ialomita"
"Dragoesti","Ialomita"
"Dridu","Ialomita"
"Dridu-Snagov","Ialomita"
"Dumitresti","Ialomita"
"Facaeni","Ialomita"
"Fetesti","Ialomita"
"Fetesti-Gara","Ialomita"
"Fierbintii de Jos","Ialomita"
"Fierbintii de Sus","Ialomita"
"Fierbinti-Targ","Ialomita"
"Fratilesti","Ialomita"
"Fundata","Ialomita"
"Garbovi","Ialomita"
"Gheorghe Doja","Ialomita"
"Gheorghe Lazar","Ialomita"
"Gimbasani","Ialomita"
"Giurgeni","Ialomita"
"Grecii de Jos","Ialomita"
"Grindasi","Ialomita"
"Grindu","Ialomita"
"Grivita","Ialomita"
"Gura Ialomitei","Ialomita"
"Gura Vaii","Ialomita"
"Hagieni","Ialomita"
"Hagiesti","Ialomita"
"Horia","Ialomita"
"Iazu","Ialomita"
"Ion Ghica","Ialomita"
"Ion Roata","Ialomita"
"Ivanesti","Ialomita"
"Jilavele","Ialomita"
"Lacusteni","Ialomita"
"Lilieci","Ialomita"
"Livedea","Ialomita"
"Luciu","Ialomita"
"Maia","Ialomita"
"Maltezi","Ialomita"
"Malu","Ialomita"
"Malu Rosu","Ialomita"
"Manasia","Ialomita"
"Marculesti","Ialomita"
"Marsilieni","Ialomita"
"Mihail Kogalniceanu","Ialomita"
"Milosesti","Ialomita"
"Mircea cel Batran","Ialomita"
"Misleanu","Ialomita"
"Moldoveni","Ialomita"
"Movila","Ialomita"
"Movileanca","Ialomita"
"Movilita","Ialomita"
"Munteni-Buzau","Ialomita"
"Murgeanca","Ialomita"
"Nenisori","Ialomita"
"Nicolesti","Ialomita"
"Ograda","Ialomita"
"Orboesti","Ialomita"
"Orezu","Ialomita"
"Paltinisu","Ialomita"
"Patru Frati","Ialomita"
"Perieti","Ialomita"
"Piersica","Ialomita"
"Platonesti","Ialomita"
"Poiana","Ialomita"
"Progresu","Ialomita"
"Radulesti","Ialomita"
"Rasi","Ialomita"
"Rasimnicea","Ialomita"
"Retezatu","Ialomita"
"Reviga","Ialomita"
"Rosiori","Ialomita"
"Rovine","Ialomita"
"Salcioara","Ialomita"
"Sarateni","Ialomita"
"Saveni","Ialomita"
"Scanteia","Ialomita"
"Sfantu Gheorghe","Ialomita"
"Sinesti","Ialomita"
"Sintesti","Ialomita"
"Slatioarele","Ialomita"
"Slobozia","Ialomita"
"Slobozia Noua","Ialomita"
"Smirna","Ialomita"
"Stejaru","Ialomita"
"Stelnica","Ialomita"
"Suditi","Ialomita"
"Tandarei","Ialomita"
"Tovarasia","Ialomita"
"Traian","Ialomita"
"Urziceni","Ialomita"
"Valea Bisericii","Ialomita"
"Valea Ciorii","Ialomita"
"Valea Macrisului","Ialomita"
"Vladeni","Ialomita"
"Vlasca","Ialomita"
"Albesti","Iasi"
"Alexandru cel Bun","Iasi"
"Alexandru I. Cuza","Iasi"
"Alexeni","Iasi"
"Alexesti","Iasi"
"Andrieseni","Iasi"
"Arama","Iasi"
"Aroneanu","Iasi"
"Avantu","Iasi"
"Bacu","Iasi"
"Badeni","Iasi"
"Bahluiu","Iasi"
"Baiceni (Cucuteni)","Iasi"
"Baiceni (Todiresti)","Iasi"
"Balciu","Iasi"
"Bals","Iasi"
"Baltati","Iasi"
"Balteni","Iasi"
"Balusesti","Iasi"
"Banu","Iasi"
"Barbatesti","Iasi"
"Barlesti","Iasi"
"Barnova","Iasi"
"Belcesti","Iasi"
"Berezlogi","Iasi"
"Bivolari","Iasi"
"Blaga","Iasi"
"Blagesti","Iasi"
"Boatca","Iasi"
"Bocnita","Iasi"
"Bodesti","Iasi"
"Bogdanesti","Iasi"
"Bogonos","Iasi"
"Bohotin","Iasi"
"Bojila","Iasi"
"Boldesti","Iasi"
"Borosesti","Iasi"
"Borosoaia","Iasi"
"Borsa","Iasi"
"Bosia","Iasi"
"Bosteni (Pascani)","Iasi"
"Boureni (Bals)","Iasi"
"Boureni (Motca)","Iasi"
"Bradicesti","Iasi"
"Braesti","Iasi"
"Bran","Iasi"
"Bratesti","Iasi"
"Bratuleni","Iasi"
"Bratulesti","Iasi"
"Breazu","Iasi"
"Brosteni","Iasi"
"Buda (Braesti)","Iasi"
"Buda (Lespezi)","Iasi"
"Budai","Iasi"
"Budesti","Iasi"
"Buhaeni","Iasi"
"Buhalnita","Iasi"
"Bulbucani","Iasi"
"Bursuc-Deal","Iasi"
"Bursuc-Vale","Iasi"
"Buruienesti","Iasi"
"Butea","Iasi"
"Buzdug","Iasi"
"Buznea","Iasi"
"Carbunari","Iasi"
"Carjoaia","Iasi"
"Carlig","Iasi"
"Carniceni","Iasi"
"Cauesti","Iasi"
"Ceplenita","Iasi"
"Cercu","Iasi"
"Chicerea","Iasi"
"Chilisoaia","Iasi"
"Chiperesti","Iasi"
"Chiscareni","Iasi"
"Cilibiu","Iasi"
"Cioca-Boca","Iasi"
"Ciocarlesti","Iasi"
"Ciohorani","Iasi"
"Ciortesti","Iasi"
"CIRESENI","Iasi"
"Ciurbesti","Iasi"
"Ciurea","Iasi"
"Coada Stancii","Iasi"
"Coarnele Caprei","Iasi"
"Coasta Magurii","Iasi"
"Cogeasca","Iasi"
"Coltu Cornii","Iasi"
"Comarna","Iasi"
"Contesti","Iasi"
"Corcodel","Iasi"
"Cornesti","Iasi"
"Coropceni","Iasi"
"Cositeni","Iasi"
"Costesti","Iasi"
"Costuleni","Iasi"
"Cotargaci","Iasi"
"Cotnari","Iasi"
"Cotu lui Ivan","Iasi"
"Cotu Morii","Iasi"
"Covasna","Iasi"
"Cozia","Iasi"
"Cozmesti","Iasi"
"Cozmesti (Stolniceni-Prajescu)","Iasi"
"Cristesti","Iasi"
"Cristesti (Braesti)","Iasi"
"Cristesti (Holboca)","Iasi"
"Crivesti (Strunga)","Iasi"
"Crivesti (Vanatori)","Iasi"
"Crucea","Iasi"
"Cucova","Iasi"
"Cucuteni","Iasi"
"Cucuteni (Letcani)","Iasi"
"Curagau","Iasi"
"Curaturi","Iasi"
"Cuza Voda (Ipatele)","Iasi"
"Cuza Voda (Popricani)","Iasi"
"Dadesti","Iasi"
"Dagata","Iasi"
"Dancas","Iasi"
"Dancu","Iasi"
"Deleni","Iasi"
"Deleni (Ciortesti)","Iasi"
"Dobrovat","Iasi"
"Dolhesti","Iasi"
"Domnita","Iasi"
"Dorobant","Iasi"
"Doroscani","Iasi"
"Draganesti","Iasi"
"Draguseni","Iasi"
"Dumbrava (Ciurea)","Iasi"
"Dumbrava (Lespezi)","Iasi"
"Dumbravita","Iasi"
"Dumesti","Iasi"
"Dumitrestii Galatii","Iasi"
"Erbiceni","Iasi"
"Fagat","Iasi"
"Fantanele","Iasi"
"Fantanele (Andrieseni)","Iasi"
"Farcaseni","Iasi"
"Fedeleseni","Iasi"
"Feredeni","Iasi"
"Fetesti","Iasi"
"Filiasi","Iasi"
"Focuri","Iasi"
"Forasti","Iasi"
"Frasuleni","Iasi"
"Frenciugi","Iasi"
"Frumusica","Iasi"
"Ganesti","Iasi"
"Garbesti","Iasi"
"Gastesti","Iasi"
"Gaureni","Iasi"
"Giurgesti","Iasi"
"Glavanesti","Iasi"
"Glodenii Gandului","Iasi"
"Goesti","Iasi"
"Golaiesti","Iasi"
"Gorban","Iasi"
"Goruni","Iasi"
"Gradinari","Iasi"
"Grajduri","Iasi"
"Griesti","Iasi"
"Gropnita","Iasi"
"Grozesti","Iasi"
"Gura Badilitei","Iasi"
"Gura Bohotin","Iasi"
"Gura Vaii","Iasi"
"Habasesti","Iasi"
"Hadambu","Iasi"
"Halaucesti","Iasi"
"Halceni","Iasi"
"Handresti","Iasi"
"Harlau","Iasi"
"Harmaneasa","Iasi"
"Harmanesti","Iasi"
"Harmanestii Noi","Iasi"
"Harmanestii Vechi","Iasi"
"Harpasesti","Iasi"
"Hartoape","Iasi"
"Heci","Iasi"
"Helesteni","Iasi"
"Hermeziu","Iasi"
"Hilita","Iasi"
"Hlincea","Iasi"
"Hodora","Iasi"
"Hoisesti","Iasi"
"Holboca","Iasi"
"Holm","Iasi"
"Homita","Iasi"
"Horlesti","Iasi"
"Horlesti (Rediu)","Iasi"
"Horodistea","Iasi"
"Horpaz","Iasi"
"Humosu","Iasi"
"Iacobeni","Iasi"
"Iasi","Iasi"
"Iazu Nou","Iasi"
"Iazu Vechi","Iasi"
"Icuseni","Iasi"
"Iepureni (Andrieseni)","Iasi"
"Iepureni (Movileni)","Iasi"
"Ion Neculce","Iasi"
"Iorcani","Iasi"
"Iosupeni","Iasi"
"Ipatele","Iasi"
"Isaiia","Iasi"
"Iugani","Iasi"
"Izvoarele","Iasi"
"Jigoreni","Iasi"
"Kogalniceni","Iasi"
"Larga-Jijia","Iasi"
"Leahu-Nacu","Iasi"
"Lespezi","Iasi"
"Letcani","Iasi"
"Liteni","Iasi"
"Luceni","Iasi"
"Lunca (Grajduri)","Iasi"
"Lunca (Pascani)","Iasi"
"Lunca Cetatuii","Iasi"
"Lunca Rates","Iasi"
"Luncasi","Iasi"
"Lungani","Iasi"
"Lungani (Voinesti)","Iasi"
"Luparia","Iasi"
"Macaresti","Iasi"
"Madarjac","Iasi"
"Madarjesti","Iasi"
"Malaesti","Iasi"
"Manastirea","Iasi"
"Manjesti","Iasi"
"Manzatesti","Iasi"
"Maxut","Iasi"
"Medeleni","Iasi"
"Miclauseni","Iasi"
"Mihail Kogalniceanu","Iasi"
"Mircesti","Iasi"
"Mironeasa","Iasi"
"Miroslava","Iasi"
"Miroslovesti","Iasi"
"Mitesti (Miroslovesti)","Iasi"
"Mitoc","Iasi"
"Moara Ciornei","Iasi"
"Mogosesti","Iasi"
"Mogosesti-Siret","Iasi"
"Moimesti","Iasi"
"Moreni","Iasi"
"Mosna","Iasi"
"Motca","Iasi"
"Movileni","Iasi"
"Movileni (Helesteni)","Iasi"
"Muncelu de Sus","Iasi"
"Munteni","Iasi"
"Oboroceni","Iasi"
"Obrijeni","Iasi"
"Onesti","Iasi"
"Opriseni","Iasi"
"Oproaia","Iasi"
"Orzeni","Iasi"
"Osoi (Comarna)","Iasi"
"Osoi (Sinesti)","Iasi"
"Oteleni","Iasi"
"Padureni (Grajduri)","Iasi"
"Padureni (Popesti)","Iasi"
"Parcovaci","Iasi"
"Pascani","Iasi"
"Paun","Iasi"
"Pausesti","Iasi"
"Perieni","Iasi"
"Petresti","Iasi"
"Petrosica","Iasi"
"Picioru Lupului","Iasi"
"Pietraria","Iasi"
"Pietris","Iasi"
"Pietrosu","Iasi"
"Piscu Rusului","Iasi"
"Plugari","Iasi"
"Pocreaca","Iasi"
"Podisu","Iasi"
"Podolenii de Jos","Iasi"
"Podolenii de Sus","Iasi"
"Podu Hagiului","Iasi"
"Podu Iloaiei","Iasi"
"Podu Jijiei","Iasi"
"Poiana (Deleni)","Iasi"
"Poiana (Schitu Duca)","Iasi"
"Poiana cu Cetate","Iasi"
"Poiana de Sus","Iasi"
"Poiana Manastirii","Iasi"
"Poiana Marului","Iasi"
"Poiana scheii","Iasi"
"Poieni","Iasi"
"Poienile","Iasi"
"Popesti","Iasi"
"Popricani","Iasi"
"Potangeni","Iasi"
"Prigoreni","Iasi"
"Prisacani","Iasi"
"Probota","Iasi"
"Proselnici","Iasi"
"Rachiteni","Iasi"
"Radeni","Iasi"
"Raducaneni","Iasi"
"Rasboieni","Iasi"
"Razboieni","Iasi"
"Recea","Iasi"
"Rediu","Iasi"
"Rediu (Braesti)","Iasi"
"Rediu (Ruginoasa)","Iasi"
"Rediu (Scanteia)","Iasi"
"Rediu Aldei","Iasi"
"Rediu Mitropoliei","Iasi"
"Romanesti","Iasi"
"Roscani","Iasi"
"Rosu","Iasi"
"Rotaria","Iasi"
"Ruginoasa","Iasi"
"Runcu","Iasi"
"Rusenii Noi","Iasi"
"Rusenii Vechi","Iasi"
"Sacaresti","Iasi"
"Salageni","Iasi"
"Sangeri","Iasi"
"Sarca","Iasi"
"Satu Nou (Belcesti)","Iasi"
"Satu Nou (scheia)","Iasi"
"Satu Nou (Schitu Duca)","Iasi"
"Satu Nou (Siretel)","Iasi"
"Saveni","Iasi"
"Scanteia","Iasi"
"Scheia","Iasi"
"Scheia (Al.I Cuza)","Iasi"
"Schitu Duca","Iasi"
"Schitu Hadambului","Iasi"
"Schitu Stavnic","Iasi"
"Scobalteni","Iasi"
"Scobinti","Iasi"
"Scoposeni (Gorban)","Iasi"
"Scoposeni (Horlesti)","Iasi"
"Sculeni","Iasi"
"Sendreni ","Iasi"
"Serbesti","Iasi"
"Sinesti","Iasi"
"Sipote","Iasi"
"Siretel","Iasi"
"Slobozia (Ciurea)","Iasi"
"Slobozia (Deleni)","Iasi"
"Slobozia (Schitu Duca)","Iasi"
"Slobozia (Siretel)","Iasi"
"Slobozia (Voinesti)","Iasi"
"Soci","Iasi"
"Sodomeni","Iasi"
"Solonet","Iasi"
"Sorogari","Iasi"
"Spineni","Iasi"
"Spinoasa","Iasi"
"Spranceana","Iasi"
"Stanca (Comarna)","Iasi"
"Stanca (Victoria)","Iasi"
"Stejarii","Iasi"
"Sticlaria","Iasi"
"Stolniceni-Prajescu","Iasi"
"Stornesti","Iasi"
"Stroesti","Iasi"
"Strunga","Iasi"
"Suhulet","Iasi"
"Tabara","Iasi"
"Tansa","Iasi"
"Tansa (Belcesti)","Iasi"
"Targu Frumos","Iasi"
"Tarnita","Iasi"
"Tatarusi","Iasi"
"Tautesti","Iasi"
"Tibana","Iasi"
"Tibanesti","Iasi"
"Tiganasi","Iasi"
"Tipilesti","Iasi"
"Todirel","Iasi"
"Todiresti","Iasi"
